a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
b,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
c,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
d,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
e,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
f,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
g,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
h,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
i,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0
j,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0
k,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,1,3
l,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,1,3
m,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,6,0
n,0,0,0,0,0,0,0,0,0,0,1,1,0,7,2,4,3
o,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,4,3
p,0,1,1,0,0,0,2,2,3,3,1,1,6,4,4,33,12
q,2,2,2,2,2,2,0,0,0,0,3,3,0,3,3,12,27
