"b", 2.0, 1.0,    ,    ,    ,    ,    ,  1.0,    ,    ,    ,    ,    ,    ,    ,    ,  2.0
"c", 1.0, 2.0,    ,    ,    ,    ,    ,  1.0,    ,    ,    ,    ,    ,    ,    ,    ,  2.0
"g",    ,    , 2.0,    ,    ,    ,    ,  2.0,    ,    ,    ,    ,    ,    ,    ,    ,     
"h",    ,    ,    , 2.0,    ,    ,    ,  2.0,    ,    ,    ,    ,    ,    ,    ,    ,     
"i",    ,    ,    ,    , 3.0,    , 1.0,  3.0,    ,    ,    ,    ,    ,    ,    ,    ,     
"j",    ,    ,    ,    ,    , 3.0, 1.0,  3.0,    ,    ,    ,    ,    ,    ,    ,    ,     
"m",    ,    ,    ,    , 1.0, 1.0, 6.0,  6.0,    ,    ,    ,    ,    ,    ,    ,    ,     
"p", 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 6.0, 33.0,    ,    ,    ,    , 1.0, 1.0, 4.0, 4.0, 12.0
"a",    ,    ,    ,    ,    ,    ,    ,     , 2.0,    ,    ,    ,    ,    ,    ,    ,  2.0
"d",    ,    ,    ,    ,    ,    ,    ,     ,    , 2.0,    ,    ,    ,    ,    ,    ,  2.0
"e",    ,    ,    ,    ,    ,    ,    ,     ,    ,    , 2.0,    ,    ,    ,    ,    ,  2.0
"f",    ,    ,    ,    ,    ,    ,    ,     ,    ,    ,    , 2.0,    ,    ,    ,    ,  2.0
"k",    ,    ,    ,    ,    ,    ,    ,  1.0,    ,    ,    ,    , 3.0, 3.0, 1.0, 1.0,  3.0
"l",    ,    ,    ,    ,    ,    ,    ,  1.0,    ,    ,    ,    , 3.0, 3.0, 1.0, 1.0,  3.0
"n",    ,    ,    ,    ,    ,    ,    ,  4.0,    ,    ,    ,    , 1.0, 1.0, 7.0, 2.0,  3.0
"o",    ,    ,    ,    ,    ,    ,    ,  4.0,    ,    ,    ,    , 1.0, 1.0, 2.0, 7.0,  3.0
"q", 2.0, 2.0,    ,    ,    ,    ,    , 12.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 27.0

Groups:
- cluster from 1 to 17
- - cluster from 1 to 2
- - cluster from 3 to 8
- - cluster from 9 to 17
